Temperature (C),Pressure (psia),"Pressure
(psig)",Density (kg/m3),Vol (Vf) (m3/kg)
90,10.179,-4.5169,965.3,0.001036
91,10.572,-4.1239,964.62,0.0010367
92,10.977,-3.7189,963.94,0.0010374
93,11.395,-3.3009,963.26,0.0010381
94,11.827,-2.8689,962.57,0.0010389
95,12.271,-2.4249,961.88,0.0010396
96,12.73,-1.9659,961.18,0.0010404
97,13.203,-1.4929,960.48,0.0010411
98,13.69,-1.0059,959.78,0.0010419
99,14.192,-0.5039,959.06,0.0010427
100,14.709,0.0131,958.35,0.0010435
101,15.242,0.5461,957.63,0.0010442
102,15.791,1.0951,956.9,0.001045
103,16.356,1.6601,956.18,0.0010458
104,16.937,2.2411,955.44,0.0010466
105,17.536,2.8401,954.7,0.0010474
106,18.151,3.4551,953.96,0.0010483
107,18.785,4.0891,953.22,0.0010491
108,19.436,4.7401,952.46,0.0010499
109,20.106,5.4101,951.71,0.0010507
110,20.795,6.0991,950.95,0.0010516
111,21.504,6.8081,950.18,0.0010524
112,22.232,7.5361,949.41,0.0010533
113,22.98,8.2841,948.64,0.0010541
114,23.748,9.0521,947.86,0.001055
115,24.538,9.8421,947.08,0.0010559
116,25.349,10.6531,946.3,0.0010568
117,26.182,11.4861,945.5,0.0010576
118,27.037,12.3411,944.71,0.0010585
119,27.914,13.2181,943.91,0.0010594
120,28.815,14.1191,943.11,0.0010603
121,29.74,15.0441,942.3,0.0010612
122,30.688,15.9921,941.49,0.0010622
123,31.662,16.9661,940.67,0.0010631
124,32.66,17.9641,939.85,0.001064
125,33.683,18.9871,939.02,0.0010649
126,34.733,20.0371,938.19,0.0010659
127,35.809,21.1131,937.36,0.0010668
128,36.912,22.2161,936.52,0.0010678
129,38.042,23.3461,935.68,0.0010687
130,39.201,24.5051,934.83,0.0010697
131,40.388,25.6921,933.98,0.0010707
132,41.603,26.9071,933.13,0.0010717
133,42.849,28.1531,932.27,0.0010727
134,44.124,29.4281,931.41,0.0010736
135,45.43,30.7341,930.54,0.0010746
136,46.767,32.0711,929.67,0.0010757
137,48.136,33.4401,928.79,0.0010767
138,49.536,34.8401,927.91,0.0010777
139,50.97,36.2741,927.02,0.0010787
140,52.437,37.7411,926.13,0.0010798
141,53.937,39.2411,925.24,0.0010808
142,55.473,40.7771,924.34,0.0010818
143,57.043,42.3471,923.44,0.0010829
144,58.648,43.9521,922.54,0.001084
145,60.29,45.5941,921.62,0.001085
146,61.968,47.2721,920.71,0.0010861
147,63.684,48.9881,919.79,0.0010872
148,65.438,50.7421,918.87,0.0010883
149,67.23,52.5341,917.94,0.0010894
150,69.062,54.3661,917.01,0.0010905
151,70.933,56.2371,916.07,0.0010916
152,72.845,58.1491,915.13,0.0010927
153,74.797,60.1011,914.19,0.0010939
154,76.791,62.0951,913.24,0.001095
155,78.828,64.1321,912.28,0.0010962
156,80.907,66.2111,911.33,0.0010973
157,83.03,68.3341,910.36,0.0010985
158,85.198,70.5021,909.4,0.0010996
159,87.41,72.7141,908.42,0.0011008
160,89.667,74.9711,907.45,0.001102
161,91.971,77.2751,906.47,0.0011032
162,94.322,79.6261,905.49,0.0011044
163,96.72,82.0241,904.5,0.0011056
164,99.167,84.4711,903.5,0.0011068
165,101.66,86.9641,902.51,0.001108
166,104.21,89.5141,901.5,0.0011093
167,106.8,92.1041,900.5,0.0011105
168,109.45,94.7541,899.49,0.0011117
169,112.15,97.4541,898.47,0.001113
170,114.9,100.2041,897.45,0.0011143
171,117.7,103.0041,896.43,0.0011155
172,120.56,105.8641,895.4,0.0011168
173,123.47,108.7741,894.36,0.0011181
174,126.44,111.7441,893.33,0.0011194
175,129.46,114.7641,892.28,0.0011207
176,132.54,117.8441,891.24,0.001122
177,135.68,120.9841,890.18,0.0011234
178,138.88,124.1841,889.13,0.0011247
179,142.13,127.4341,888.07,0.001126
180,145.45,130.7541,887,0.0011274
181,148.82,134.1241,885.93,0.0011288
182,152.26,137.5641,884.85,0.0011301
183,155.76,141.0641,883.77,0.0011315
184,159.32,144.6241,882.69,0.0011329
185,162.94,148.2441,881.6,0.0011343
186,166.63,151.9341,880.5,0.0011357
187,170.39,155.6941,879.4,0.0011371
188,174.21,159.5141,878.3,0.0011386
189,178.1,163.4041,877.19,0.00114
190,182.06,167.3641,876.08,0.0011415
191,186.08,171.3841,874.96,0.0011429
192,190.18,175.4841,873.83,0.0011444
193,194.34,179.6441,872.7,0.0011459
194,198.57,183.8741,871.57,0.0011474
195,202.88,188.1841,870.43,0.0011489
196,207.26,192.5641,869.29,0.0011504
197,211.71,197.0141,868.14,0.0011519
198,216.24,201.5441,866.98,0.0011534
199,220.84,206.1441,865.82,0.001155
200,225.52,210.8241,864.66,0.0011565
