Temperature (C),Pressure (psia),Pressure (psig),Density (kg/m3),Vol (Vg) (m3/kg)
90,10.179,-4.5169,0.4239,2.3591
91,10.572,-4.1239,0.43918,2.277
92,10.977,-3.7189,0.45491,2.1982
93,11.395,-3.3009,0.47111,2.1227
94,11.827,-2.8689,0.48777,2.0502
95,12.271,-2.4249,0.50491,1.9806
96,12.73,-1.9659,0.52254,1.9137
97,13.203,-1.4929,0.54067,1.8496
98,13.69,-1.0059,0.55931,1.7879
99,14.192,-0.5039,0.57847,1.7287
100,14.709,0.0131,0.59817,1.6718
101,15.242,0.5461,0.61841,1.6171
102,15.791,1.0951,0.6392,1.5644
103,16.356,1.6601,0.66056,1.5139
104,16.937,2.2411,0.6825,1.4652
105,17.536,2.8401,0.70503,1.4184
106,18.151,3.4551,0.72816,1.3733
107,18.785,4.0891,0.7519,1.33
108,19.436,4.7401,0.77627,1.2882
109,20.106,5.4101,0.80127,1.248
110,20.795,6.0991,0.82693,1.2093
111,21.504,6.8081,0.85325,1.172
112,22.232,7.5361,0.88024,1.1361
113,22.98,8.2841,0.90792,1.1014
114,23.748,9.0521,0.9363,1.068
115,24.538,9.8421,0.9654,1.0358
116,25.349,10.6531,0.99522,1.0048
117,26.182,11.4861,1.0258,0.97486
118,27.037,12.3411,1.0571,0.94598
119,27.914,13.2181,1.0892,0.91811
120,28.815,14.1191,1.1221,0.89121
121,29.74,15.0441,1.1557,0.86525
122,30.688,15.9921,1.1902,0.84019
123,31.662,16.9661,1.2255,0.81598
124,32.66,17.9641,1.2617,0.79261
125,33.683,18.9871,1.2987,0.77003
126,34.733,20.0371,1.3365,0.74821
127,35.809,21.1131,1.3753,0.72713
128,36.912,22.2161,1.4149,0.70675
129,38.042,23.3461,1.4555,0.68705
130,39.201,24.5051,1.497,0.668
131,40.388,25.6921,1.5394,0.64959
132,41.603,26.9071,1.5828,0.63177
133,42.849,28.1531,1.6272,0.61454
134,44.124,29.4281,1.6726,0.59786
135,45.43,30.7341,1.719,0.58173
136,46.767,32.0711,1.7664,0.56611
137,48.136,33.4401,1.8149,0.55099
138,49.536,34.8401,1.8644,0.53636
139,50.97,36.2741,1.915,0.52218
140,52.437,37.7411,1.9667,0.50845
141,53.937,39.2411,2.0196,0.49516
142,55.473,40.7771,2.0735,0.48227
143,57.043,42.3471,2.1286,0.46979
144,58.648,43.9521,2.1849,0.45769
145,60.29,45.5941,2.2423,0.44596
146,61.968,47.2721,2.301,0.43459
147,63.684,48.9881,2.3609,0.42357
148,65.438,50.7421,2.422,0.41288
149,67.23,52.5341,2.4844,0.40251
150,69.062,54.3661,2.5481,0.39245
151,70.933,56.2371,2.613,0.38269
152,72.845,58.1491,2.6793,0.37323
153,74.797,60.1011,2.747,0.36404
154,76.791,62.0951,2.816,0.35512
155,78.828,64.1321,2.8863,0.34646
156,80.907,66.2111,2.9581,0.33805
157,83.03,68.3341,3.0313,0.32989
158,85.198,70.5021,3.1059,0.32196
159,87.41,72.7141,3.1821,0.31426
160,89.667,74.9711,3.2596,0.30678
161,91.971,77.2751,3.3387,0.29951
162,94.322,79.6261,3.4194,0.29245
163,96.72,82.0241,3.5016,0.28559
164,99.167,84.4711,3.5853,0.27892
165,101.66,86.9641,3.6707,0.27243
166,104.21,89.5141,3.7576,0.26612
167,106.8,92.1041,3.8462,0.25999
168,109.45,94.7541,3.9365,0.25403
169,112.15,97.4541,4.0285,0.24823
170,114.9,100.2041,4.1222,0.24259
171,117.7,103.0041,4.2176,0.2371
172,120.56,105.8641,4.3148,0.23176
173,123.47,108.7741,4.4138,0.22656
174,126.44,111.7441,4.5146,0.2215
175,129.46,114.7641,4.6172,0.21658
176,132.54,117.8441,4.7217,0.21179
177,135.68,120.9841,4.8281,0.20712
178,138.88,124.1841,4.9364,0.20258
179,142.13,127.4341,5.0466,0.19815
180,145.45,130.7541,5.1588,0.19384
181,148.82,134.1241,5.273,0.18964
182,152.26,137.5641,5.3893,0.18555
183,155.76,141.0641,5.5076,0.18157
184,159.32,144.6241,5.6279,0.17769
185,162.94,148.2441,5.7504,0.1739
186,166.63,151.9341,5.875,0.17021
187,170.39,155.6941,6.0018,0.16662
188,174.21,159.5141,6.1308,0.16311
189,178.1,163.4041,6.262,0.15969
190,182.06,167.3641,6.3954,0.15636
191,186.08,171.3841,6.5312,0.15311
192,190.18,175.4841,6.6692,0.14994
193,194.34,179.6441,6.8096,0.14685
194,198.57,183.8741,6.9524,0.14383
195,202.88,188.1841,7.0976,0.14089
196,207.26,192.5641,7.2453,0.13802
197,211.71,197.0141,7.3954,0.13522
198,216.24,201.5441,7.548,0.13248
199,220.84,206.1441,7.7032,0.12982
200,225.52,210.8241,7.861,0.12721
